Age,Workclass,Final Weight,Education,Education Number of Years,Marital-status,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-country,Income,Age_original,combined_group,sample_weight,Race_Sex_combined,Age_Sex_combined
Early Adulthood,Private,206512,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,25,United-States,<=50K,31,Early Adulthood_Private_11th_Never-married_Handlers-cleaners_Own-child_White_Male_United-States,0.5,White_Male,Early Adulthood_Male
Early Adulthood,State-gov,38309,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,6849,0,40,United-States,<=50K,28,Early Adulthood_State-gov_Bachelors_Never-married_Prof-specialty_Own-child_White_Male_United-States,0.5,White_Male,Early Adulthood_Male
Early Adulthood,Private,312766,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K,37,Early Adulthood_Private_HS-grad_Divorced_Other-service_Not-in-family_White_Female_United-States,0.5,White_Female,Early Adulthood_Female
Midlife,Private,139671,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,United-States,>50K,52,Midlife_Private_Some-college_Married-civ-spouse_Exec-managerial_Husband_White_Male_United-States,0.6818181818181818,White_Male,Midlife_Male
Elderly,Federal-gov,38621,Assoc-voc,11,Widowed,Other-service,Unmarried,Black,Female,3273,0,40,United-States,<=50K,66,Elderly_Federal-gov_Assoc-voc_Widowed_Other-service_Unmarried_Black_Female_United-States,0.5,Black_Female,Elderly_Female
Early Adulthood,Private,124827,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K,31,Early Adulthood_Private_HS-grad_Never-married_Other-service_Not-in-family_White_Male_United-States,0.5,White_Male,Early Adulthood_Male
Early Adulthood,Private,77820,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,37,Early Adulthood_Private_Bachelors_Married-civ-spouse_Exec-managerial_Husband_White_Male_United-States,0.6527196652719666,White_Male,Early Adulthood_Male
Midlife,Federal-gov,56904,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,5013,0,45,United-States,<=50K,45,Midlife_Federal-gov_Bachelors_Married-civ-spouse_Adm-clerical_Husband_White_Male_United-States,1.625,White_Male,Midlife_Male
Midlife,Private,190115,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,<=50K,45,Midlife_Private_Assoc-acdm_Divorced_Exec-managerial_Unmarried_White_Male_United-States,0.5,White_Male,Midlife_Male
Midlife,Private,106682,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K,44,Midlife_Private_HS-grad_Married-civ-spouse_Sales_Husband_White_Male_United-States,0.9772727272727272,White_Male,Midlife_Male
Early Adulthood,Local-gov,42596,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K,32,Early Adulthood_Local-gov_Bachelors_Divorced_Prof-specialty_Not-in-family_White_Male_United-States,0.5,White_Male,Early Adulthood_Male
Early Adulthood,Private,143058,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,60,United-States,>50K,35,Early Adulthood_Private_HS-grad_Married-civ-spouse_Machine-op-inspct_Husband_White_Male_United-States,1.9027777777777777,White_Male,Early Adulthood_Male
Midlife,Private,102615,11th,7,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,Canada,<=50K,53,Midlife_Private_11th_Divorced_Transport-moving_Not-in-family_White_Male_Canada,0.5,White_Male,Midlife_Male
Midlife,Private,139703,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,3103,0,40,Germany,>50K,54,Midlife_Private_Some-college_Married-civ-spouse_Craft-repair_Husband_White_Male_Germany,1.0,White_Male,Midlife_Male
Midlife,Private,240124,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,43,Midlife_Private_Assoc-voc_Married-civ-spouse_Craft-repair_Husband_White_Male_United-States,0.918918918918919,White_Male,Midlife_Male
Early Adulthood,Private,132565,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K,30,Early Adulthood_Private_Some-college_Never-married_Craft-repair_Unmarried_White_Male_United-States,0.5,White_Male,Early Adulthood_Male
Midlife,Private,323798,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,3325,0,50,United-States,<=50K,49,Midlife_Private_Some-college_Divorced_Exec-managerial_Not-in-family_White_Male_United-States,0.59375,White_Male,Midlife_Male
Midlife,Private,96359,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,57,United-States,>50K,52,Midlife_Private_Doctorate_Married-civ-spouse_Exec-managerial_Husband_White_Male_United-States,0.5357142857142857,White_Male,Midlife_Male
Youth,Private,165201,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,4,United-States,<=50K,20,Youth_Private_Some-college_Never-married_Adm-clerical_Own-child_White_Female_United-States,0.5,White_Female,Youth_Female
Midlife,Federal-gov,165630,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,40,United-States,>50K,60,Midlife_Federal-gov_HS-grad_Married-civ-spouse_Tech-support_Husband_White_Male_United-States,0.8,White_Male,Midlife_Male
Midlife,Private,264526,Assoc-acdm,12,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K,45,Midlife_Private_Assoc-acdm_Divorced_Machine-op-inspct_Own-child_White_Male_United-States,0.5,White_Male,Midlife_Male
Midlife,Private,102359,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,60,United-States,>50K,48,Midlife_Private_Bachelors_Married-civ-spouse_Exec-managerial_Husband_White_Male_United-States,0.5631970260223048,White_Male,Midlife_Male
Early Adulthood,Private,37359,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K,28,Early Adulthood_Private_Bachelors_Married-civ-spouse_Sales_Husband_White_Male_United-States,0.6606060606060606,White_Male,Early Adulthood_Male
Elderly,?,232618,Prof-school,15,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,>50K,61,Elderly_?_Prof-school_Married-civ-spouse_?_Husband_White_Male_United-States,0.9285714285714286,White_Male,Elderly_Male
Midlife,Local-gov,115497,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,48,Midlife_Local-gov_Some-college_Married-civ-spouse_Exec-managerial_Husband_White_Male_United-States,0.9375,White_Male,Midlife_Male
Early Adulthood,Private,157747,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,<=50K,32,Early Adulthood_Private_Some-college_Married-civ-spouse_Tech-support_Husband_White_Male_United-States,0.8636363636363636,White_Male,Early Adulthood_Male
Early Adulthood,Self-emp-not-inc,41099,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,30,United-States,<=50K,27,Early Adulthood_Self-emp-not-inc_HS-grad_Never-married_Craft-repair_Not-in-family_White_Male_United-States,0.6428571428571429,White_Male,Early Adulthood_Male
Early Adulthood,Private,472604,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,35,Mexico,<=50K,38,Early Adulthood_Private_Bachelors_Married-civ-spouse_Other-service_Husband_White_Male_Mexico,0.5,White_Male,Early Adulthood_Male
Early Adulthood,Private,348618,5th-6th,3,Married-spouse-absent,Transport-moving,Unmarried,Other,Male,0,0,20,El-Salvador,<=50K,33,Early Adulthood_Private_5th-6th_Married-spouse-absent_Transport-moving_Unmarried_Other_Male_El-Salvador,0.5,Other_Male,Early Adulthood_Male
Midlife,Private,135606,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,>50K,43,Midlife_Private_Masters_Divorced_Exec-managerial_Not-in-family_White_Female_United-States,0.8333333333333334,White_Female,Midlife_Female
Early Adulthood,Private,248445,HS-grad,9,Separated,Transport-moving,Other-relative,White,Male,0,0,60,Mexico,<=50K,36,Early Adulthood_Private_HS-grad_Separated_Transport-moving_Other-relative_White_Male_Mexico,0.5,White_Male,Early Adulthood_Male
Early Adulthood,Private,112093,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,38,Early Adulthood_Private_11th_Married-civ-spouse_Transport-moving_Husband_White_Male_United-States,0.5833333333333334,White_Male,Early Adulthood_Male
Youth,Local-gov,197552,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K,24,Youth_Local-gov_HS-grad_Never-married_Tech-support_Not-in-family_White_Female_United-States,0.5,White_Female,Youth_Female
Youth,Private,303822,10th,6,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,22,Youth_Private_10th_Never-married_Craft-repair_Own-child_White_Male_United-States,0.5,White_Male,Youth_Male
Early Adulthood,Private,288566,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K,30,Early Adulthood_Private_Bachelors_Never-married_Other-service_Not-in-family_White_Male_United-States,0.5,White_Male,Early Adulthood_Male
Midlife,?,487411,Masters,14,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,>50K,55,Midlife_?_Masters_Married-civ-spouse_?_Husband_White_Male_United-States,1.0,White_Male,Midlife_Male
Midlife,Self-emp-not-inc,43348,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,55,United-States,>50K,46,Midlife_Self-emp-not-inc_Prof-school_Married-civ-spouse_Exec-managerial_Husband_White_Male_United-States,0.5,White_Male,Midlife_Male
Early Adulthood,State-gov,239409,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,United-States,<=50K,39,Early Adulthood_State-gov_HS-grad_Married-civ-spouse_Protective-serv_Husband_White_Male_United-States,0.7,White_Male,Early Adulthood_Male
Midlife,Private,337606,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1485,40,United-States,<=50K,50,Midlife_Private_HS-grad_Married-civ-spouse_Machine-op-inspct_Husband_White_Male_United-States,0.7868217054263565,White_Male,Midlife_Male
Early Adulthood,Private,32528,Assoc-voc,11,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0,974,40,United-States,<=50K,34,Early Adulthood_Private_Assoc-voc_Married-spouse-absent_Adm-clerical_Unmarried_White_Female_United-States,0.5,White_Female,Early Adulthood_Female
Midlife,State-gov,118447,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K,47,Midlife_State-gov_Bachelors_Married-civ-spouse_Prof-specialty_Husband_White_Male_United-States,0.8571428571428571,White_Male,Midlife_Male
Midlife,Private,234690,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,46,Midlife_Private_HS-grad_Married-civ-spouse_Sales_Husband_White_Male_United-States,0.9772727272727272,White_Male,Midlife_Male
Youth,?,141003,HS-grad,9,Never-married,?,Own-child,White,Male,0,0,60,United-States,<=50K,23,Youth_?_HS-grad_Never-married_?_Own-child_White_Male_United-States,0.5,White_Male,Youth_Male
Midlife,Private,216042,Some-college,10,Divorced,Tech-support,Own-child,White,Female,0,1617,72,United-States,<=50K,43,Midlife_Private_Some-college_Divorced_Tech-support_Own-child_White_Female_United-States,0.5,White_Female,Midlife_Female
Midlife,Private,190482,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K,45,Midlife_Private_HS-grad_Divorced_Machine-op-inspct_Unmarried_White_Male_United-States,0.5,White_Male,Midlife_Male
Midlife,Private,381965,Bachelors,13,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,40,United-States,<=50K,55,Midlife_Private_Bachelors_Married-civ-spouse_Craft-repair_Other-relative_White_Male_United-States,0.5,White_Male,Midlife_Male
Elderly,Private,186943,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,8,United-States,<=50K,68,Elderly_Private_HS-grad_Married-civ-spouse_Craft-repair_Husband_White_Male_United-States,0.6714285714285714,White_Male,Elderly_Male
Early Adulthood,Private,142707,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,39,Early Adulthood_Private_Assoc-voc_Married-civ-spouse_Machine-op-inspct_Husband_White_Male_United-States,0.8846153846153846,White_Male,Early Adulthood_Male
Early Adulthood,Private,53447,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Female,0,0,40,United-States,<=50K,39,Early Adulthood_Private_HS-grad_Divorced_Farming-fishing_Not-in-family_White_Female_United-States,0.5,White_Female,Early Adulthood_Female
Early Adulthood,Private,127772,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,37,Early Adulthood_Private_Bachelors_Never-married_Craft-repair_Not-in-family_White_Male_United-States,0.5555555555555556,White_Male,Early Adulthood_Male
Youth,Private,344414,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K,19,Youth_Private_Some-college_Never-married_Transport-moving_Own-child_White_Male_United-States,0.5,White_Male,Youth_Male
Youth,Private,194138,11th,7,Never-married,Craft-repair,Own-child,White,Male,0,0,20,United-States,<=50K,20,Youth_Private_11th_Never-married_Craft-repair_Own-child_White_Male_United-States,0.5,White_Male,Youth_Male
Midlife,?,558183,Assoc-voc,11,Married-spouse-absent,?,Unmarried,White,Female,0,0,40,United-States,<=50K,49,Midlife_?_Assoc-voc_Married-spouse-absent_?_Unmarried_White_Female_United-States,0.5,White_Female,Midlife_Female
Early Adulthood,Private,150154,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,33,Early Adulthood_Private_Some-college_Married-civ-spouse_Craft-repair_Husband_White_Male_United-States,0.7866666666666666,White_Male,Early Adulthood_Male
Youth,Private,306114,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,35,United-States,<=50K,21,Youth_Private_HS-grad_Never-married_Other-service_Not-in-family_White_Male_United-States,0.5125,White_Male,Youth_Male
Elderly,?,177121,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,3,United-States,<=50K,72,Elderly_?_Bachelors_Married-civ-spouse_?_Husband_White_Male_United-States,0.8548387096774194,White_Male,Elderly_Male
Midlife,Local-gov,368797,Masters,14,Widowed,Prof-specialty,Unmarried,White,Male,0,0,35,United-States,>50K,58,Midlife_Local-gov_Masters_Widowed_Prof-specialty_Unmarried_White_Male_United-States,0.5,White_Male,Midlife_Male
Midlife,Self-emp-inc,175715,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,55,United-States,<=50K,43,Midlife_Self-emp-inc_HS-grad_Never-married_Exec-managerial_Not-in-family_Black_Male_United-States,0.5,Black_Male,Midlife_Male
Elderly,Private,416829,11th,7,Separated,Other-service,Not-in-family,Black,Female,0,0,21,United-States,<=50K,62,Elderly_Private_11th_Separated_Other-service_Not-in-family_Black_Female_United-States,0.5,Black_Female,Elderly_Female
Youth,Private,350001,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0,0,20,United-States,<=50K,21,Youth_Private_Some-college_Never-married_Farming-fishing_Own-child_White_Male_United-States,0.5,White_Male,Youth_Male
Early Adulthood,Private,339952,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K,26,Early Adulthood_Private_Some-college_Married-civ-spouse_Exec-managerial_Husband_White_Male_United-States,1.0901639344262295,White_Male,Early Adulthood_Male
Early Adulthood,Private,114967,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,27,Early Adulthood_Private_9th_Married-civ-spouse_Craft-repair_Husband_White_Male_United-States,0.5238095238095238,White_Male,Early Adulthood_Male
Early Adulthood,Private,164190,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,38,United-States,>50K,34,Early Adulthood_Private_Some-college_Married-civ-spouse_Prof-specialty_Husband_White_Male_United-States,1.0769230769230769,White_Male,Early Adulthood_Male
Midlife,Local-gov,166039,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K,49,Midlife_Local-gov_HS-grad_Divorced_Other-service_Unmarried_White_Female_United-States,0.5,White_Female,Midlife_Female
Early Adulthood,Private,250135,HS-grad,9,Never-married,Prof-specialty,Other-relative,White,Female,0,0,40,United-States,<=50K,28,Early Adulthood_Private_HS-grad_Never-married_Prof-specialty_Other-relative_White_Female_United-States,0.5,White_Female,Early Adulthood_Female
Early Adulthood,Self-emp-not-inc,234960,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,1887,48,United-States,>50K,34,Early Adulthood_Self-emp-not-inc_Bachelors_Married-civ-spouse_Prof-specialty_Husband_Black_Male_United-States,0.5,Black_Male,Early Adulthood_Male
Early Adulthood,Private,103628,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K,29,Early Adulthood_Private_Some-college_Married-civ-spouse_Adm-clerical_Wife_White_Female_United-States,0.9736842105263158,White_Female,Early Adulthood_Female
Midlife,Private,430005,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,>50K,58,Midlife_Private_10th_Married-civ-spouse_Transport-moving_Husband_White_Male_United-States,1.2083333333333333,White_Male,Midlife_Male
Midlife,Self-emp-inc,106517,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,45,Midlife_Self-emp-inc_HS-grad_Divorced_Exec-managerial_Not-in-family_White_Female_United-States,0.5,White_Female,Midlife_Female
Midlife,Self-emp-not-inc,162236,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K,47,Midlife_Self-emp-not-inc_Bachelors_Never-married_Craft-repair_Not-in-family_White_Female_United-States,0.5,White_Female,Midlife_Female
Midlife,Private,92430,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,53,Midlife_Private_HS-grad_Married-civ-spouse_Craft-repair_Husband_White_Male_United-States,1.0991189427312775,White_Male,Midlife_Male
Midlife,Local-gov,40641,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,0,40,United-States,<=50K,52,Midlife_Local-gov_10th_Married-civ-spouse_Craft-repair_Husband_White_Male_United-States,0.5,White_Male,Midlife_Male
Midlife,Private,169388,11th,7,Divorced,Other-service,Unmarried,White,Female,0,0,15,United-States,<=50K,47,Midlife_Private_11th_Divorced_Other-service_Unmarried_White_Female_United-States,0.5,White_Female,Midlife_Female
Early Adulthood,Local-gov,410034,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,40,United-States,>50K,36,Early Adulthood_Local-gov_Bachelors_Married-civ-spouse_Prof-specialty_Husband_White_Male_United-States,0.94,White_Male,Early Adulthood_Male
Midlife,Private,237525,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,65,United-States,>50K,48,Midlife_Private_Bachelors_Married-civ-spouse_Exec-managerial_Husband_White_Male_United-States,0.5631970260223048,White_Male,Midlife_Male
Early Adulthood,Private,150057,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,35,Early Adulthood_Private_Some-college_Married-civ-spouse_Exec-managerial_Husband_White_Male_United-States,0.9236111111111112,White_Male,Early Adulthood_Male
Midlife,Private,148549,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,50,United-States,>50K,49,Midlife_Private_Bachelors_Married-civ-spouse_Exec-managerial_Husband_White_Male_United-States,0.5631970260223048,White_Male,Midlife_Male
Midlife,Private,75742,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,<=50K,43,Midlife_Private_Some-college_Married-civ-spouse_Transport-moving_Husband_White_Male_United-States,0.9886363636363636,White_Male,Midlife_Male
Early Adulthood,Private,177675,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Germany,>50K,33,Early Adulthood_Private_Bachelors_Married-civ-spouse_Exec-managerial_Husband_White_Male_Germany,0.5,White_Male,Early Adulthood_Male
Midlife,Local-gov,193249,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K,49,Midlife_Local-gov_Assoc-acdm_Married-civ-spouse_Adm-clerical_Husband_White_Male_United-States,0.5,White_Male,Midlife_Male
Youth,Private,266072,10th,6,Never-married,Other-service,Not-in-family,White,Male,0,0,20,El-Salvador,<=50K,17,Youth_Private_10th_Never-married_Other-service_Not-in-family_White_Male_El-Salvador,0.5,White_Male,Youth_Male
Early Adulthood,?,80165,Some-college,10,Divorced,?,Not-in-family,White,Female,0,0,30,United-States,<=50K,28,Early Adulthood_?_Some-college_Divorced_?_Not-in-family_White_Female_United-States,0.5625,White_Female,Early Adulthood_Female
Youth,Private,339324,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K,25,Youth_Private_Bachelors_Never-married_Tech-support_Not-in-family_White_Male_United-States,0.55,White_Male,Youth_Male
Elderly,?,111238,9th,5,Married-civ-spouse,?,Husband,White,Male,0,0,20,United-States,<=50K,69,Elderly_?_9th_Married-civ-spouse_?_Husband_White_Male_United-States,0.5555555555555556,White_Male,Elderly_Male
Midlife,Self-emp-not-inc,284086,Assoc-voc,11,Divorced,Sales,Not-in-family,White,Male,0,0,60,United-States,<=50K,41,Midlife_Self-emp-not-inc_Assoc-voc_Divorced_Sales_Not-in-family_White_Male_United-States,0.5,White_Male,Midlife_Male
Early Adulthood,Private,206051,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,31,Early Adulthood_Private_Bachelors_Married-civ-spouse_Adm-clerical_Husband_White_Male_United-States,0.8703703703703703,White_Male,Early Adulthood_Male
Midlife,Private,426263,Masters,14,Divorced,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,>50K,57,Midlife_Private_Masters_Divorced_Exec-managerial_Unmarried_White_Male_United-States,0.7,White_Male,Midlife_Male
Midlife,Private,102583,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1848,44,United-States,>50K,49,Midlife_Private_Some-college_Married-civ-spouse_Prof-specialty_Husband_White_Male_United-States,0.7647058823529411,White_Male,Midlife_Male
Early Adulthood,Private,277647,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,40,Early Adulthood_Private_Bachelors_Married-civ-spouse_Prof-specialty_Husband_White_Male_United-States,0.6716867469879518,White_Male,Early Adulthood_Male
Midlife,Private,124808,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,Germany,>50K,55,Midlife_Private_Assoc-voc_Married-civ-spouse_Prof-specialty_Husband_White_Male_Germany,0.5,White_Male,Midlife_Male
Midlife,Private,193061,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K,47,Midlife_Private_Some-college_Divorced_Exec-managerial_Not-in-family_White_Male_United-States,0.59375,White_Male,Midlife_Male
Midlife,Private,121411,12th,8,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K,50,Midlife_Private_12th_Divorced_Transport-moving_Not-in-family_White_Male_United-States,1.0,White_Male,Midlife_Male
Early Adulthood,Private,89202,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,50,United-States,<=50K,36,Early Adulthood_Private_Bachelors_Never-married_Prof-specialty_Own-child_White_Male_United-States,0.5357142857142857,White_Male,Early Adulthood_Male
Youth,Private,232900,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,25,United-States,<=50K,17,Youth_Private_11th_Never-married_Handlers-cleaners_Own-child_White_Male_United-States,0.5,White_Male,Youth_Male
Early Adulthood,Local-gov,319280,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K,30,Early Adulthood_Local-gov_HS-grad_Married-civ-spouse_Protective-serv_Husband_White_Male_United-States,0.9210526315789472,White_Male,Early Adulthood_Male
Elderly,?,165209,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K,79,Elderly_?_HS-grad_Married-civ-spouse_?_Husband_White_Male_United-States,0.6122448979591837,White_Male,Elderly_Male
Midlife,Private,193494,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K,42,Midlife_Private_HS-grad_Married-civ-spouse_Machine-op-inspct_Husband_White_Male_United-States,1.3716216216216215,White_Male,Midlife_Male
Elderly,Self-emp-not-inc,195066,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K,67,Elderly_Self-emp-not-inc_HS-grad_Married-civ-spouse_Farming-fishing_Husband_White_Male_United-States,0.5666666666666667,White_Male,Elderly_Male
Early Adulthood,Private,99146,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,>50K,36,Early Adulthood_Private_HS-grad_Married-civ-spouse_Machine-op-inspct_Husband_White_Male_United-States,1.9027777777777777,White_Male,Early Adulthood_Male
Early Adulthood,Private,92028,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,35,Early Adulthood_Private_Masters_Married-civ-spouse_Exec-managerial_Husband_White_Male_United-States,0.5370370370370371,White_Male,Early Adulthood_Male
Early Adulthood,Private,174419,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,27,Early Adulthood_Private_Bachelors_Never-married_Prof-specialty_Not-in-family_White_Female_United-States,0.5625,White_Female,Early Adulthood_Female
Youth,Private,57916,7th-8th,4,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K,21,Youth_Private_7th-8th_Never-married_Machine-op-inspct_Own-child_White_Male_United-States,0.5,White_Male,Youth_Male
Midlife,Private,383384,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,46,Midlife_Private_HS-grad_Married-civ-spouse_Prof-specialty_Husband_White_Male_United-States,0.9318181818181818,White_Male,Midlife_Male
Midlife,Private,198223,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1902,45,United-States,>50K,45,Midlife_Private_Bachelors_Married-civ-spouse_Sales_Husband_White_Male_United-States,0.675,White_Male,Midlife_Male
Youth,Private,109813,11th,7,Never-married,Tech-support,Other-relative,White,Male,0,0,40,United-States,<=50K,20,Youth_Private_11th_Never-married_Tech-support_Other-relative_White_Male_United-States,0.5,White_Male,Youth_Male
Youth,Private,174298,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K,17,Youth_Private_11th_Never-married_Other-service_Own-child_White_Male_United-States,0.5,White_Male,Youth_Male
Early Adulthood,Private,45687,Some-college,10,Divorced,Other-service,Not-in-family,Black,Male,4787,0,50,United-States,>50K,40,Early Adulthood_Private_Some-college_Divorced_Other-service_Not-in-family_Black_Male_United-States,0.5,Black_Male,Early Adulthood_Male
Early Adulthood,Private,263614,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,28,Early Adulthood_Private_Bachelors_Married-civ-spouse_Exec-managerial_Husband_White_Male_United-States,0.6527196652719666,White_Male,Early Adulthood_Male
Early Adulthood,Private,96128,11th,7,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,33,Early Adulthood_Private_11th_Never-married_Craft-repair_Own-child_White_Male_United-States,0.5,White_Male,Early Adulthood_Male
Midlife,Private,220262,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K,55,Midlife_Private_HS-grad_Divorced_Sales_Not-in-family_White_Female_United-States,0.5,White_Female,Midlife_Female
