Age,Workclass,Final Weight,Education,Education Number of Years,Marital-status,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-country,Age_original,Income,Race_Sex_combined,Age_Sex_combined
Midlife,Private,138251,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,51,<=50K,White_Male,Midlife_Male
Early Adulthood,Private,369825,7th-8th,4,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,25,United-States,31,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Federal-gov,44364,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,36,United-States,36,<=50K,Black_Female,Early Adulthood_Female
Youth,Private,230704,Some-college,10,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,22,United-States,23,<=50K,Black_Male,Youth_Male
Early Adulthood,Private,42044,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,30,United-States,35,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Local-gov,56340,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,28,<=50K,White_Female,Early Adulthood_Female
Early Adulthood,State-gov,156015,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,33,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,163434,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,40,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,85251,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,27,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Self-emp-inc,187411,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,38,>50K,White_Male,Early Adulthood_Male
Midlife,Private,155124,Assoc-voc,11,Divorced,Prof-specialty,Not-in-family,White,Female,0,1669,40,United-States,47,<=50K,White_Female,Midlife_Female
Youth,Private,396633,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,56,United-States,25,>50K,Black_Female,Youth_Female
Midlife,Private,182313,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,45,>50K,White_Male,Midlife_Male
Early Adulthood,Private,52596,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,38,<=50K,Black_Female,Early Adulthood_Female
Elderly,?,260111,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,66,>50K,White_Male,Elderly_Male
Elderly,Local-gov,143570,Some-college,10,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,40,United-States,65,<=50K,Black_Female,Elderly_Female
Early Adulthood,Private,160634,Assoc-voc,11,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,30,>50K,White_Male,Early Adulthood_Male
Midlife,Private,29909,11th,7,Married-civ-spouse,Other-service,Wife,White,Female,0,0,43,United-States,54,<=50K,White_Female,Midlife_Female
Midlife,Private,94215,12th,8,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,49,<=50K,White_Female,Midlife_Female
Midlife,Self-emp-not-inc,151990,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,15,United-States,41,>50K,White_Female,Midlife_Female
Midlife,Federal-gov,188081,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,48,>50K,White_Male,Midlife_Male
Youth,Private,218445,5th-6th,3,Never-married,Priv-house-serv,Unmarried,White,Female,0,0,12,Mexico,23,<=50K,White_Female,Youth_Female
Elderly,Private,235775,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,25,Cuba,77,<=50K,White_Male,Elderly_Male
Youth,Private,98605,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,19,<=50K,White_Female,Youth_Female
Early Adulthood,Private,188398,HS-grad,9,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,30,<=50K,White_Female,Early Adulthood_Female
Midlife,Self-emp-inc,140365,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,55,United-States,41,>50K,White_Male,Midlife_Male
Early Adulthood,Private,202950,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,Iran,35,>50K,White_Male,Early Adulthood_Male
Youth,Private,218215,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,20,<=50K,White_Female,Youth_Female
Elderly,Self-emp-inc,197816,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,10605,0,40,United-States,66,>50K,White_Male,Elderly_Male
Midlife,Private,147002,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Female,0,0,40,Puerto-Rico,49,<=50K,White_Female,Midlife_Female
Midlife,Private,138497,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,52,>50K,White_Male,Midlife_Male
Youth,Private,57711,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,35,United-States,24,>50K,White_Female,Youth_Female
Midlife,Private,169925,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,15,United-States,50,<=50K,White_Male,Midlife_Male
Youth,Private,72310,11th,7,Never-married,Transport-moving,Not-in-family,White,Male,0,0,65,United-States,22,<=50K,White_Male,Youth_Male
Youth,Private,170800,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,19,<=50K,White_Male,Youth_Male
Early Adulthood,Private,215095,11th,7,Never-married,Prof-specialty,Unmarried,White,Female,0,0,30,Puerto-Rico,39,<=50K,White_Female,Early Adulthood_Female
Midlife,Private,480717,Bachelors,13,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,38,?,45,<=50K,Asian-Pac-Islander_Male,Midlife_Male
Elderly,Local-gov,34632,Bachelors,13,Divorced,Other-service,Not-in-family,White,Male,0,0,30,United-States,61,<=50K,White_Male,Elderly_Male
Midlife,Private,140664,Assoc-acdm,12,Divorced,Transport-moving,Not-in-family,White,Male,0,0,55,United-States,45,<=50K,White_Male,Midlife_Male
Early Adulthood,Local-gov,177858,Bachelors,13,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,40,United-States,36,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,160369,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,45,United-States,40,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,129102,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,38,<=50K,White_Male,Early Adulthood_Male
Midlife,Local-gov,278522,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,52,<=50K,Black_Male,Midlife_Male
Early Adulthood,Federal-gov,124953,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,42,United-States,29,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,63184,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,33,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Self-emp-not-inc,165815,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,40,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,248584,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,55,United-States,34,<=50K,White_Male,Early Adulthood_Male
Midlife,Local-gov,226871,Bachelors,13,Divorced,Protective-serv,Not-in-family,Black,Male,0,0,50,United-States,46,>50K,Black_Male,Midlife_Male
Midlife,Private,267717,Masters,14,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,45,United-States,44,>50K,White_Male,Midlife_Male
Youth,Private,60367,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,13,United-States,19,<=50K,White_Female,Youth_Female
Midlife,Private,134120,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,44,>50K,White_Female,Midlife_Female
Early Adulthood,Private,95639,HS-grad,9,Never-married,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,United-States,40,<=50K,Amer-Indian-Eskimo_Male,Early Adulthood_Male
Youth,Private,132053,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,2,United-States,20,<=50K,White_Female,Youth_Female
Youth,Private,138768,Assoc-acdm,12,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,30,United-States,24,<=50K,White_Male,Youth_Male
Elderly,Private,203910,HS-grad,9,Widowed,Other-service,Not-in-family,White,Male,0,0,17,United-States,76,<=50K,White_Male,Elderly_Male
Youth,Private,109952,HS-grad,9,Married-civ-spouse,Tech-support,Other-relative,White,Male,0,0,40,United-States,20,<=50K,White_Male,Youth_Male
Early Adulthood,Private,155781,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,33,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,49398,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,31,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,159303,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,33,<=50K,White_Female,Early Adulthood_Female
Youth,Private,248339,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,35,United-States,19,<=50K,White_Male,Youth_Male
Early Adulthood,Private,190539,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,1590,50,United-States,29,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,183620,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,30,<=50K,White_Male,Early Adulthood_Male
Midlife,Private,25468,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,99999,0,50,United-States,48,>50K,White_Male,Midlife_Male
Midlife,Private,201495,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,42,<=50K,White_Male,Midlife_Male
Early Adulthood,Private,52221,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,37,<=50K,White_Male,Early Adulthood_Male
Midlife,Self-emp-inc,96460,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,60,United-States,54,>50K,White_Male,Midlife_Male
Midlife,Private,325353,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,7688,0,42,United-States,42,>50K,White_Male,Midlife_Male
Early Adulthood,Self-emp-not-inc,176027,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,28,United-States,28,<=50K,White_Female,Early Adulthood_Female
Midlife,Local-gov,266135,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,52,United-States,42,>50K,White_Male,Midlife_Male
Midlife,State-gov,194252,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,3103,0,40,United-States,60,>50K,White_Female,Midlife_Female
Elderly,?,164835,HS-grad,9,Widowed,?,Not-in-family,White,Female,0,0,25,United-States,76,<=50K,White_Female,Elderly_Female
Youth,Private,363192,Assoc-voc,11,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,21,<=50K,White_Female,Youth_Female
Early Adulthood,Private,31360,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,29,<=50K,White_Male,Early Adulthood_Male
Midlife,Private,63503,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,43,>50K,White_Male,Midlife_Male
Midlife,Private,157614,HS-grad,9,Divorced,Sales,Own-child,White,Male,0,0,38,United-States,44,<=50K,White_Male,Midlife_Male
Midlife,Private,160647,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,4687,0,35,United-States,45,>50K,White_Female,Midlife_Female
Early Adulthood,Private,363395,Some-college,10,Never-married,Sales,Unmarried,Black,Female,0,0,40,United-States,38,<=50K,Black_Female,Early Adulthood_Female
Early Adulthood,Private,338376,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-States,28,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,87523,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,29,<=50K,White_Female,Early Adulthood_Female
Youth,Private,280714,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,20,<=50K,White_Male,Youth_Male
Midlife,Self-emp-inc,119565,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,49,>50K,White_Male,Midlife_Male
Early Adulthood,Local-gov,171482,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,56,United-States,36,>50K,White_Male,Early Adulthood_Male
Early Adulthood,Self-emp-inc,49249,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,40,>50K,White_Male,Early Adulthood_Male
Youth,Private,331552,12th,8,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,17,<=50K,White_Female,Youth_Female
Midlife,Private,174426,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,45,<=50K,White_Male,Midlife_Male
Midlife,Private,184105,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,28,United-States,42,<=50K,White_Male,Midlife_Male
Early Adulthood,Private,37933,Bachelors,13,Never-married,Exec-managerial,Unmarried,Black,Female,0,0,40,United-States,29,<=50K,Black_Female,Early Adulthood_Female
Midlife,Self-emp-not-inc,291529,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386,0,13,United-States,57,>50K,White_Male,Midlife_Male
Youth,Private,376416,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,23,<=50K,White_Male,Youth_Male
Youth,Private,263612,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,Haiti,20,<=50K,Black_Female,Youth_Female
Youth,Private,227471,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,24,United-States,23,<=50K,White_Male,Youth_Male
Early Adulthood,Private,191103,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,39,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,35644,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,34,>50K,White_Male,Early Adulthood_Male
Midlife,Self-emp-not-inc,227298,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,43,<=50K,White_Male,Midlife_Male
Youth,State-gov,187508,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,25,<=50K,White_Male,Youth_Male
Early Adulthood,Private,184378,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,Puerto-Rico,40,<=50K,White_Male,Early Adulthood_Male
Midlife,Self-emp-not-inc,190333,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,25,United-States,52,<=50K,White_Male,Midlife_Male
Midlife,Private,155372,HS-grad,9,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,36,United-States,48,<=50K,White_Female,Midlife_Female
Early Adulthood,Private,259882,Assoc-voc,11,Never-married,Sales,Unmarried,Black,Female,0,0,6,United-States,37,<=50K,Black_Female,Early Adulthood_Female
Early Adulthood,Private,217077,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,36,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,103596,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,33,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Local-gov,188236,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,36,>50K,White_Female,Early Adulthood_Female
Youth,Private,353010,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,10,United-States,24,<=50K,White_Male,Youth_Male
Midlife,Local-gov,70655,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,42,<=50K,White_Male,Midlife_Male
Early Adulthood,Self-emp-inc,64874,Assoc-acdm,12,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,35,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Federal-gov,219240,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,22,United-States,40,<=50K,White_Female,Early Adulthood_Female
Midlife,Self-emp-inc,104849,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India,50,<=50K,Asian-Pac-Islander_Male,Midlife_Male
Early Adulthood,Private,173590,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,40,>50K,White_Male,Early Adulthood_Male
Youth,Private,412316,HS-grad,9,Never-married,Sales,Other-relative,Black,Male,0,0,40,?,22,<=50K,Black_Male,Youth_Male
Midlife,Self-emp-inc,195835,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,57,<=50K,White_Male,Midlife_Male
Midlife,Local-gov,170579,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,51,>50K,White_Male,Midlife_Male
Elderly,Federal-gov,230545,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,35,Puerto-Rico,61,<=50K,White_Female,Elderly_Female
Elderly,Private,162297,HS-grad,9,Widowed,Sales,Unmarried,White,Female,0,0,20,United-States,71,<=50K,White_Female,Elderly_Female
Midlife,Private,169549,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,47,>50K,White_Male,Midlife_Male
Early Adulthood,Private,117528,Bachelors,13,Never-married,Other-service,Other-relative,White,Female,0,0,45,United-States,38,<=50K,White_Female,Early Adulthood_Female
Youth,Private,273876,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,65,United-States,25,<=50K,White_Male,Youth_Male
Early Adulthood,Private,529104,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,33,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,State-gov,456110,11th,7,Divorced,Transport-moving,Unmarried,White,Female,0,0,52,United-States,40,<=50K,White_Female,Early Adulthood_Female
Early Adulthood,?,180868,11th,7,Never-married,?,Not-in-family,Black,Female,0,0,40,United-States,39,<=50K,Black_Female,Early Adulthood_Female
Early Adulthood,Private,170301,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,2829,0,40,United-States,29,<=50K,White_Female,Early Adulthood_Female
Early Adulthood,Private,55717,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,33,<=50K,White_Male,Early Adulthood_Male
Midlife,Private,166181,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,36,United-States,46,<=50K,Black_Female,Midlife_Female
Youth,Private,52242,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,24,>50K,White_Female,Youth_Female
Early Adulthood,Private,224629,Masters,14,Never-married,Exec-managerial,Not-in-family,Other,Male,0,0,30,Cuba,28,<=50K,Other_Male,Early Adulthood_Male
Youth,Private,197997,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,20,<=50K,White_Male,Youth_Male
Early Adulthood,Private,46144,Some-college,10,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,40,United-States,34,<=50K,White_Female,Early Adulthood_Female
Early Adulthood,State-gov,180871,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,55,United-States,34,<=50K,White_Male,Early Adulthood_Male
Youth,Private,212311,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,25,<=50K,Black_Female,Youth_Female
Early Adulthood,Private,232874,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,36,<=50K,White_Male,Early Adulthood_Male
Elderly,Private,175999,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,61,<=50K,White_Male,Elderly_Male
Early Adulthood,Private,177121,Some-college,10,Separated,Other-service,Not-in-family,White,Female,0,0,58,United-States,38,<=50K,White_Female,Early Adulthood_Female
Midlife,Private,299358,HS-grad,9,Widowed,Other-service,Other-relative,White,Female,0,1719,25,United-States,57,<=50K,White_Female,Midlife_Female
Youth,?,326624,HS-grad,9,Never-married,?,Own-child,White,Female,0,0,40,United-States,20,<=50K,White_Female,Youth_Female
Midlife,Private,129836,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,10,United-States,56,<=50K,White_Female,Midlife_Female
Youth,Private,225515,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,24,<=50K,White_Female,Youth_Female
Midlife,Private,145664,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,48,United-States,60,<=50K,White_Female,Midlife_Female
Early Adulthood,Private,151764,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,37,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,183523,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,27,>50K,White_Male,Early Adulthood_Male
Midlife,Private,257869,Some-college,10,Separated,Other-service,Not-in-family,White,Male,0,0,28,Columbia,54,<=50K,White_Male,Midlife_Male
Early Adulthood,Private,73025,HS-grad,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,30,China,40,<=50K,Asian-Pac-Islander_Male,Early Adulthood_Male
Youth,Private,165532,12th,8,Never-married,Other-service,Own-child,White,Male,0,0,15,United-States,18,<=50K,White_Male,Youth_Male
Midlife,Federal-gov,140035,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,51,>50K,White_Male,Midlife_Male
Early Adulthood,Self-emp-not-inc,325159,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,40,>50K,White_Male,Early Adulthood_Male
Elderly,Federal-gov,161926,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,8,United-States,64,<=50K,White_Male,Elderly_Male
Youth,Private,163665,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,2174,0,40,United-States,24,<=50K,White_Female,Youth_Female
Early Adulthood,Private,106938,HS-grad,9,Married-civ-spouse,Tech-support,Wife,Black,Female,0,0,38,United-States,33,<=50K,Black_Female,Early Adulthood_Female
Early Adulthood,Private,97453,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,31,<=50K,White_Female,Early Adulthood_Female
Early Adulthood,Local-gov,242464,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,3103,0,40,United-States,26,>50K,White_Male,Early Adulthood_Male
Midlife,Private,155233,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,14084,0,40,United-States,54,>50K,White_Female,Midlife_Female
Early Adulthood,Private,248653,1st-4th,2,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,37,Mexico,31,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,59313,12th,8,Married-spouse-absent,Transport-moving,Not-in-family,Black,Male,0,0,45,?,39,<=50K,Black_Male,Early Adulthood_Male
Youth,Private,141297,Some-college,10,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States,22,<=50K,White_Male,Youth_Male
Early Adulthood,Private,227325,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,31,<=50K,White_Male,Early Adulthood_Male
Elderly,Private,123653,5th-6th,3,Separated,Other-service,Not-in-family,White,Male,0,0,12,Italy,68,<=50K,White_Male,Elderly_Male
Midlife,Federal-gov,176317,10th,6,Divorced,Other-service,Not-in-family,White,Female,0,0,37,United-States,59,<=50K,White_Female,Midlife_Female
Early Adulthood,Self-emp-not-inc,77146,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2829,0,45,United-States,35,<=50K,White_Male,Early Adulthood_Male
Youth,Private,169124,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,25,<=50K,White_Male,Youth_Male
Youth,Private,179413,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,23,<=50K,White_Male,Youth_Male
Early Adulthood,Private,180137,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Male,0,0,60,United-States,35,<=50K,White_Male,Early Adulthood_Male
Youth,State-gov,179319,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,17,<=50K,White_Male,Youth_Male
Youth,Private,45766,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,45,United-States,19,<=50K,White_Male,Youth_Male
Midlife,Private,152810,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,55,United-States,53,>50K,White_Male,Midlife_Male
Midlife,Private,214052,5th-6th,3,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,59,<=50K,White_Female,Midlife_Female
Early Adulthood,Private,201141,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,37,United-States,37,<=50K,White_Female,Early Adulthood_Female
Elderly,Self-emp-not-inc,43599,HS-grad,9,Widowed,Other-service,Not-in-family,White,Male,0,0,20,United-States,74,<=50K,White_Male,Elderly_Male
Early Adulthood,Private,292536,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,28,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,82161,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,40,<=50K,White_Male,Early Adulthood_Male
Early Adulthood,Private,180656,Some-college,10,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,40,?,30,<=50K,White_Male,Early Adulthood_Male
Youth,Private,181370,Some-college,10,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States,20,<=50K,Black_Male,Youth_Male
Elderly,Private,148623,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,80,>50K,White_Male,Elderly_Male
Midlife,Private,84399,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,51,<=50K,Black_Male,Midlife_Male
Youth,Private,143331,10th,6,Never-married,Sales,Own-child,White,Male,0,0,15,United-States,17,<=50K,White_Male,Youth_Male
Early Adulthood,Federal-gov,48779,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,37,<=50K,White_Male,Early Adulthood_Male
Youth,?,175495,HS-grad,9,Never-married,?,Own-child,Black,Female,0,0,24,United-States,19,<=50K,Black_Female,Youth_Female
Midlife,Private,83542,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,58,<=50K,White_Male,Midlife_Male
Midlife,Private,214619,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,57,<=50K,White_Male,Midlife_Male
Early Adulthood,Private,160035,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,37,<=50K,White_Male,Early Adulthood_Male
Youth,Federal-gov,39603,Some-college,10,Never-married,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,0,0,40,United-States,23,<=50K,Amer-Indian-Eskimo_Male,Youth_Male
Early Adulthood,Private,181589,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,32,Columbia,36,<=50K,White_Female,Early Adulthood_Female
Early Adulthood,Private,261511,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,33,<=50K,White_Male,Early Adulthood_Male
